|         E          |        E-E0        |          max config      
|  -945.534746732538 |   171.767292774379 | [  0  0  0  0  1  0  1  1  0 ] (0.2159)
|  -943.614192449198 |   173.687847057719 | [  0  0  1  0  0  0  0  0  2 ] (0.5366)
|  -942.566781063377 |   174.735258443540 | [  0  0  0  1  0  1  0  1  0 ] (0.1854)
|  -941.778648667804 |   175.523390839113 | [  0  0  1  0  0  0  0  1  1 ] (0.2222)
|  -941.505612089369 |   175.796427417548 | [  0  0  0  1  1  0  0  1  0 ] (0.3237)
|  -940.158941455090 |   177.143098051827 | [  0  0  1  0  0  1  0  0  1 ] (0.2907)
|  -939.408109444146 |   177.893930062771 | [  0  0  0  1  0  1  1  0  0 ] (0.3958)
|  -937.515335526769 |   179.786703980148 | [  0  0  1  0  0  0  0  1  1 ] (0.2982)
|  -936.876213165564 |   180.425826341353 | [  0  0  0  0  0  2  0  0  1 ] (0.3303)
|  -935.212088238418 |   182.089951268499 | [  0  0  0  0  0  0  0  2  1 ] (0.5822)
|  -934.285582252177 |   183.016457254740 | [  0  0  0  0  0  2  0  0  1 ] (0.2652)
|  -932.543916023028 |   184.758123483889 | [  0  0  0  0  2  0  0  0  1 ] (0.2990)
|  -930.783858765674 |   186.518180741243 | [  0  0  0  0  2  0  0  0  1 ] (0.1592)
|  -930.734802376618 |   186.567237130299 | [  0  0  1  0  0  0  1  0  1 ] (0.2054)
|  -925.657617283651 |   191.644422223266 | [  0  0  0  0  0  0  2  0  1 ] (0.4641)
|  -924.159023711620 |   193.143015795297 | [  0  0  0  0  1  0  1  1  0 ] (0.1074)
|  -922.290042235527 |   195.011997271390 | [  0  0  0  1  1  0  0  0  1 ] (0.3625)
|  -920.764854762359 |   196.537184744558 | [  0  0  0  0  1  1  0  0  1 ] (0.5177)
|  -919.894656340247 |   197.407383166670 | [  0  0  0  0  1  1  0  0  1 ] (0.1943)
|  -919.110781664700 |   198.191257842217 | [  0  0  0  1  0  0  0  0  2 ] (0.2173)
|  -918.239546147264 |   199.062493359653 | [  0  0  0  0  1  0  0  0  2 ] (0.2154)
|  -916.666478298141 |   200.635561208776 | [  0  0  0  0  0  1  0  0  2 ] (0.3257)
|  -915.700833993108 |   201.601205513809 | [  0  0  0  0  0  1  0  0  2 ] (0.2557)
|  -914.539605640038 |   202.762433866879 | [  0  0  1  0  0  0  1  0  1 ] (0.1143)
|  -914.518280443698 |   202.783759063219 | [  0  0  0  0  1  0  1  0  1 ] (0.2641)
|  -912.377768670446 |   204.924270836471 | [  0  0  0  0  0  0  0  1  2 ] (0.2604)
|  -911.841819525693 |   205.460219981224 | [  0  0  0  0  0  0  0  1  2 ] (0.3399)
|  -910.587334349518 |   206.714705157399 | [  0  0  0  0  1  0  0  1  1 ] (0.1905)
|  -909.611000631232 |   207.691038875685 | [  0  0  0  0  0  1  0  1  1 ] (0.3261)
|  -908.139926661950 |   209.162112844967 | [  0  0  0  0  0  0  1  1  1 ] (0.3208)
|  -902.581221654289 |   214.720817852628 | [  0  0  0  0  0  1  1  0  1 ] (0.3088)
|  -897.362445554785 |   219.939593952132 | [  0  0  0  0  0  0  0  0  3 ] (0.5839)
|  -883.314437808099 |   233.987601698818 | [  0  0  0  0  1  0  1  0  1 ] (0.1352)
|  -860.998609002322 |   256.303430504595 | [  0  0  0  1  0  0  1  0  1 ] (0.1611)
